iter	Passed	Remaining
0	148	147938
1	153	76461
2	159	52873
3	165	41109
4	170	33881
5	175	29075
6	180	25635
7	183	22805
8	186	20539
9	188	18697
10	190	17157
11	192	15866
12	194	14797
13	197	13886
14	198	13054
15	200	12303
16	201	11643
17	202	11048
18	203	10516
19	205	10048
20	206	9634
21	208	9249
22	209	8886
23	210	8552
24	211	8243
25	212	7959
26	213	7693
27	214	7447
28	215	7222
29	216	7011
30	218	6822
31	219	6647
32	220	6467
33	221	6297
34	222	6136
35	223	5984
36	224	5845
37	225	5710
38	226	5580
39	227	5458
40	228	5346
41	229	5239
42	231	5151
43	232	5054
44	233	4960
45	234	4870
46	235	4782
47	236	4698
48	237	4617
49	239	4541
50	240	4466
51	240	4393
52	241	4323
53	244	4275
54	245	4214
55	246	4150
56	247	4089
57	248	4030
58	249	3974
59	250	3918
60	250	3863
61	251	3811
62	252	3761
63	253	3713
64	254	3667
65	256	3632
66	258	3594
67	258	3546
68	259	3504
69	260	3463
70	261	3422
71	262	3382
72	263	3346
73	264	3310
74	265	3276
75	266	3242
76	267	3211
77	269	3182
78	270	3154
79	271	3122
80	272	3092
81	273	3062
82	274	3033
83	275	3004
84	276	2972
85	277	2945
86	277	2915
87	278	2888
88	279	2862
89	280	2838
90	282	2820
91	283	2798
92	284	2774
93	285	2750
94	286	2727
95	287	2706
96	288	2685
97	289	2663
98	290	2642
99	291	2621
100	292	2602
101	292	2579
102	294	2563
103	295	2548
104	296	2531
105	297	2512
106	298	2494
107	299	2476
108	300	2458
109	301	2442
110	302	2424
111	303	2407
112	304	2390
113	305	2374
114	306	2360
115	308	2348
116	309	2334
117	310	2318
118	311	2302
119	312	2288
120	312	2273
121	313	2258
122	314	2241
123	315	2227
124	316	2215
125	317	2201
126	318	2188
127	319	2175
128	320	2165
129	321	2153
130	322	2141
131	323	2128
132	324	2115
133	325	2103
134	326	2091
135	327	2080
136	328	2068
137	329	2056
138	330	2045
139	331	2034
140	333	2029
141	334	2018
142	335	2008
143	336	1999
144	337	1989
145	338	1978
146	339	1968
147	340	1958
148	341	1948
149	342	1938
150	343	1929
151	344	1921
152	346	1916
153	347	1906
154	347	1896
155	348	1887
156	349	1878
157	350	1869
158	351	1860
159	352	1851
160	353	1842
161	354	1833
162	355	1824
163	356	1817
164	358	1813
165	359	1807
166	360	1799
167	361	1791
168	362	1783
169	363	1775
170	364	1767
171	365	1759
172	367	1756
173	368	1750
174	369	1744
175	371	1740
176	372	1733
177	373	1726
178	375	1720
179	375	1712
180	376	1703
181	377	1695
182	378	1688
183	379	1682
184	380	1675
185	381	1669
186	382	1663
187	384	1659
188	385	1652
189	386	1645
190	386	1638
191	387	1632
192	389	1626
193	389	1620
194	390	1613
195	391	1607
196	393	1602
197	394	1596
198	395	1590
199	396	1586
200	397	1581
201	398	1575
202	399	1569
203	400	1563
204	401	1557
205	402	1552
206	403	1546
207	404	1540
208	405	1534
209	406	1529
210	407	1525
211	409	1522
212	410	1516
213	411	1511
214	412	1506
215	413	1500
216	414	1495
217	415	1489
218	416	1484
219	417	1479
220	418	1474
221	419	1469
222	420	1464
223	421	1461
224	422	1456
225	423	1451
226	424	1446
227	425	1441
228	426	1436
229	427	1431
230	428	1426
231	429	1421
232	430	1417
233	431	1412
234	432	1408
235	434	1405
