iter	Passed	Remaining
0	179	179711
1	185	92680
2	190	63402
3	193	48179
4	196	39017
5	198	32876
6	200	28432
7	202	25077
8	203	22449
9	205	20337
10	207	18670
11	209	17219
12	210	15991
13	212	14938
14	213	14004
15	214	13181
16	215	12460
17	216	11814
18	217	11238
19	218	10723
20	220	10270
21	221	9854
22	222	9459
23	223	9092
24	224	8755
25	225	8448
26	226	8167
27	227	7907
28	228	7665
29	229	7435
30	231	7221
31	232	7020
32	233	6832
33	234	6656
34	236	6507
35	237	6353
36	238	6206
37	239	6063
38	240	5927
39	241	5796
40	242	5671
41	243	5555
42	244	5442
43	245	5335
44	246	5234
45	247	5135
46	249	5065
47	251	4978
48	252	4893
49	253	4811
50	254	4732
51	255	4654
52	256	4581
53	257	4509
54	258	4438
55	259	4371
56	260	4307
57	261	4247
58	262	4187
59	263	4134
60	265	4086
61	266	4032
62	267	3980
63	268	3930
64	269	3880
65	270	3832
66	271	3784
67	272	3739
68	273	3696
69	274	3653
70	276	3611
71	277	3571
72	279	3551
73	280	3513
74	281	3474
75	282	3436
76	283	3399
77	284	3364
78	285	3329
79	286	3294
80	287	3261
81	288	3230
82	289	3193
83	289	3162
84	290	3131
85	291	3101
86	293	3076
87	294	3054
88	295	3029
89	297	3005
90	298	2979
91	299	2953
92	300	2927
93	301	2903
94	302	2878
95	303	2854
96	304	2830
97	305	2807
98	305	2784
99	306	2762
100	309	2751
101	310	2731
102	311	2709
103	312	2688
104	312	2667
105	313	2647
106	314	2627
107	315	2608
108	316	2589
109	317	2570
110	318	2551
111	319	2533
112	320	2516
113	321	2499
114	322	2483
115	324	2471
116	325	2454
117	326	2440
118	327	2425
119	328	2410
120	329	2395
121	330	2379
122	331	2364
123	332	2349
124	333	2334
125	334	2320
126	335	2304
127	336	2290
128	338	2282
129	339	2271
130	340	2258
131	341	2244
132	342	2231
133	343	2218
134	344	2205
135	345	2192
136	346	2180
137	347	2168
138	348	2155
139	349	2143
140	349	2132
141	350	2118
142	351	2106
143	353	2098
144	354	2089
145	355	2078
146	356	2068
147	357	2058
148	358	2049
149	359	2039
150	361	2030
151	362	2019
152	363	2010
153	364	2001
154	365	1992
155	366	1984
156	368	1977
157	369	1967
158	370	1958
159	371	1949
160	371	1938
161	372	1929
162	373	1919
163	374	1911
164	375	1902
165	376	1893
166	377	1884
167	378	1875
168	379	1867
169	381	1862
170	382	1855
171	383	1848
172	385	1840
173	386	1832
174	387	1824
175	388	1816
176	389	1809
177	390	1801
178	390	1793
179	391	1785
180	392	1777
181	393	1770
182	395	1767
183	397	1761
184	398	1754
185	399	1746
186	400	1739
187	401	1732
188	402	1725
189	403	1718
190	404	1711
191	405	1704
192	405	1697
193	406	1690
194	407	1683
195	408	1676
196	410	1672
197	411	1668
198	412	1662
199	414	1656
200	415	1650
201	416	1644
202	417	1638
203	418	1631
204	419	1625
205	420	1619
206	421	1613
207	422	1607
208	423	1601
209	423	1595
210	426	1594
211	427	1588
212	428	1582
213	429	1577
214	430	1571
215	431	1565
216	432	1559
217	432	1553
218	433	1547
219	434	1541
220	435	1536
221	436	1530
222	437	1525
223	438	1519
224	440	1516
225	441	1512
226	442	1508
227	444	1503
228	445	1498
229	446	1494
230	447	1489
231	448	1484
232	449	1479
233	450	1474
234	451	1470
235	452	1465
236	453	1460
237	456	1460
238	457	1455
239	458	1451
240	459	1446
241	460	1441
242	461	1436
243	462	1432
244	463	1427
245	464	1423
246	465	1418
247	466	1413
248	467	1409
249	468	1404
250	469	1402
251	471	1398
252	472	1394
253	473	1391
254	474	1386
255	475	1382
256	476	1377
257	477	1373
258	478	1368
259	479	1364
260	480	1361
261	481	1357
262	483	1353
263	485	1354
264	486	1350
265	487	1346
266	488	1342
267	489	1337
268	490	1333
269	491	1329
270	493	1326
271	494	1322
272	495	1318
273	496	1314
274	497	1310
275	498	1306
276	499	1304
277	501	1302
278	502	1298
279	503	1295
280	504	1291
281	505	1287
282	506	1283
283	507	1279
284	508	1275
285	509	1272
286	510	1268
287	511	1265
288	512	1261
289	516	1263
290	517	1260
291	518	1256
292	519	1252
293	520	1248
294	521	1245
295	522	1241
296	523	1238
297	524	1234
298	525	1230
299	526	1227
300	527	1223
301	528	1220
302	529	1218
303	531	1215
304	532	1212
305	533	1210
306	534	1207
307	535	1204
308	537	1201
309	538	1197
310	539	1194
311	540	1191
312	541	1187
313	542	1184
314	543	1182
315	545	1180
316	546	1176
317	547	1173
318	548	1170
319	549	1166
320	550	1163
321	551	1160
322	552	1157
323	553	1153
324	554	1150
325	555	1147
326	556	1144
327	557	1141
328	558	1139
329	559	1136
330	561	1134
331	562	1132
332	563	1129
333	564	1126
334	565	1123
335	566	1120
336	567	1117
337	568	1113
338	569	1110
339	570	1107
340	571	1104
341	574	1104
342	575	1102
343	576	1100
344	577	1097
345	578	1094
346	579	1091
347	580	1087
348	581	1084
349	582	1081
350	583	1078
351	584	1075
352	585	1073
353	586	1070
354	587	1067
355	589	1065
356	590	1063
357	591	1060
358	592	1058
359	593	1055
360	595	1053
361	596	1050
362	597	1047
363	598	1044
364	598	1042
365	599	1039
366	600	1036
367	601	1033
368	603	1032
369	604	1029
370	605	1026
371	606	1024
372	607	1021
373	608	1018
374	609	1016
375	610	1013
376	611	1010
377	612	1007
378	613	1005
379	614	1002
380	615	999
381	617	998
382	618	996
383	619	994
384	620	991
385	621	989
386	623	986
387	624	984
388	625	981
389	626	979
390	626	976
391	627	973
392	628	971
393	629	968
394	632	968
395	633	966
396	634	963
397	635	961
398	636	958
399	637	956
400	638	953
401	639	951
402	640	948
403	641	946
404	642	943
405	643	941
406	644	938
407	645	935
408	646	934
409	648	932
410	649	930
411	650	928
412	651	925
413	652	923
414	653	921
415	654	918
416	655	916
417	656	914
418	657	911
419	658	909
420	659	906
421	661	906
422	662	904
423	663	901
424	664	899
425	665	897
426	666	895
427	668	892
428	669	890
429	669	888
430	670	885
431	671	883
432	672	881
433	673	878
434	674	876
435	676	875
436	678	873
437	679	871
438	680	869
439	681	867
440	682	864
441	683	862
442	684	860
443	685	858
444	686	855
445	687	853
446	688	851
447	689	849
448	690	846
449	691	845
450	692	843
451	693	840
452	694	838
453	695	836
454	696	833
455	697	831
456	698	829
457	698	827
458	699	825
459	700	822
460	701	820
461	702	818
462	703	816
463	705	814
464	706	813
465	708	811
466	709	809
467	710	807
468	711	805
469	712	803
470	713	800
471	714	798
472	715	796
473	715	794
474	716	792
475	717	790
476	718	788
477	721	787
478	722	785
479	723	783
480	723	781
481	725	779
482	725	777
483	726	774
484	727	772
485	729	771
486	730	769
487	731	767
488	732	765
489	733	763
490	734	761
491	736	760
492	737	758
493	738	756
494	739	754
495	740	752
496	741	750
497	742	748
498	743	746
499	744	744
500	745	742
501	746	740
502	747	738
503	748	736
504	750	735
505	751	733
506	752	731
507	753	729
508	754	727
509	755	725
510	756	723
511	757	721
512	758	719
513	759	717
514	760	715
515	761	714
516	762	712
517	763	710
518	764	708
519	766	707
520	767	705
521	768	703
522	769	701
523	770	699
524	771	697
525	772	695
526	773	694
527	774	692
528	775	690
529	776	688
530	777	686
531	778	684
532	780	683
533	781	682
534	782	680
535	784	678
536	785	677
537	786	675
538	787	673
539	788	671
540	789	669
541	790	667
542	791	666
543	792	664
544	793	662
545	795	661
546	796	659
547	797	657
548	798	655
549	799	654
550	800	652
551	801	650
552	802	648
553	803	646
554	804	644
555	805	642
556	806	641
557	806	639
558	807	637
559	810	636
560	811	634
561	812	633
562	813	631
563	814	629
564	815	627
565	816	625
566	817	624
567	818	622
568	819	620
569	820	618
570	820	616
571	821	615
